job_id,job_title,company_name,source_platform,search_term,location,job_url,email_addresses,num_email_addresses,relevant_text,analysis_date,job_description,_id
689d5ad6e78d625301071a15,Bartender,Inn at Laurel Point,indeed,IT Project Manager,"Victoria, BC, CA",https://ca.indeed.com/viewjob?jk=c7abc47f3504b985,['careers@laurelpoint.com'],1,"**Closing Date:** Please submit your application as soon as possible as applications are reviewed daily | Apply Now! Please email your resume to careers@laurelpoint.com. For more information, please visit our Careers page at www.laurelpoint.com/careers",2025-09-02T14:24:47.509657,"**\*Please note we are currently hiring for part\-time weekend nights** 

**Job Title:** Bartender

**Job Status:** Permanent, Part Time

**Start Wage:** $23\.23 per hour to $23\.73 per hour (1yr) \+ a comprehensive extended health benefits package

**Summary of Position:** 

To represent Inn at Laurel Point and Aura in all guest interactions as “A refined coastal experience in a waterfront city setting, guided by sincere, friendly service, to create remarkable memories.” The Restaurant Bartender is a true professional with a passion for food, wine, spirits and the entire food and beverage experience, which they dedicate to sharing with our guests by providing an exceptional dining experience.

**Responsibilities:** 

* Ensure the highest guest satisfaction by providing consistent excellence of service and giving genuine personal attention
* Provide beverage service to guests and colleagues by preparing all beverage orders (rung in through Givex) in a timely, efficient manner
* Provide...",68b736723204a15e64887b74
689d5acce78d625301071568,Community Development Summer Student,NORTH END COMMUNITY RENEWAL CORPORATION,indeed,Software Engineer,"Winnipeg, MB, CA",https://ca.indeed.com/viewjob?jk=c6b2250eb462d38b,['HR@necrc.org'],1,"* Assist with the facilitation of community cooking classes including; connecting with participants and community members before each class via phone and email, kitchen preparation, in class support and post\-class cleanup | Please email your resume and a cover letter explaining why you are the ideal candidate for this role to Talia Syrie at HR@necrc.org DO NOT APPLY ON THE INDEED SITE. A cover letter **written in your own words** is important for us to understand your unique qualifications. The position will remain open until filled, and we thank all applicants for their interest. Only those selected for further consideration will be contacted.",2025-09-02T14:24:47.552411,"**Job Overview**  
**About North End Community Renewal Corporation (NECRC):**

The North End Community Renewal Corporation is a cornerstone organization committed to the social, economic, and cultural renewal of Winnipeg's North End. Founded in 1998, NECRC's mission is to promote and guide the renewal of our community in a manner that respects and improves the quality of life for North End residents. Through partnerships, leadership, and direct action, we strive to create a vibrant, healthy, and safe North End that is empowered and connected. Our initiatives span affordable housing, employment, education, youth and family support, and community engagement projects designed to foster a thriving community.

**Position Overview:**

We are seeking an enthusiastic and reliable summer student to join our Community Development team. This diverse role offers hands\-on experience in community programming, event coordination, and food security initiatives while making a meaningful impact in our ...",68b736723204a15e64887b75
689d5acce78d6253010714c7,Business Developer / Application Specialist – Safety & Sensors,Franklin Empire,indeed,Software Engineer,"Kitchener, ON, CA",https://ca.indeed.com/viewjob?jk=f155d4d3e2e310af,['albert.chaves@franklinempire.com'],1,"Compensation package is $70,000 to $80,000 CDN including bonus and benefits. If you are interested in this exciting and rewarding career opportunity, please email your resume to albert.chaves@franklinempire.com referencing the Job ID: FE\-SWO\-AS in the subject field.​ Please note only those candidates selected for interviews will be contacted.​",2025-09-02T14:24:47.594532,"Franklin Empire is a leading full line electrical distributor with a long history of continuous growth and success. There are currently twenty three branches established in Ontario and Quebec.​ We represent many quality manufacturers and offer products and solutions for the industrial, commercial, residential and utility markets. This opportunity involves the sales and support of our industrial automation products with particular focus on our safety and sensor lines.​

We are looking for a highly motivated individual to become our specialist and business developer for our safety and sensor product offerings. Your area of coverage would be the Southwest Ontario region.

As an Application Specialist you will be expected to support sales activities through specialized technical knowledge and product applications. As part of our dynamic sales team, you will be responsible for technical service and support, designing technical solutions, and technical presentations/training at customers’ si...",68b736723204a15e64887b76
689d5ad6e78d62530107183b,Front End UI Developer,ConvergentIS,indeed,Backend Developer,"Calgary, AB, CA",https://ca.indeed.com/viewjob?jk=80b79ad904019996,['careers@convergentis.com'],1,"**How to Apply:** | To apply please email a cover letter and Resume to us at careers@convergentis.com, **identify the position you are applying for in the subject line.**",2025-09-02T14:24:47.653777,"At ConvergentIS we have a spark — a code, a way we work, a way we behave — and it's the core of our team's success. It's more than a value statement: **it's our culture**. Our spark means:


* Performing exceptionally and achieving high standards at every opportunity
* Enabling our customers and our team members
* Being flexible and innovative
* Maintaining strong alignment with our goals and values


We are a technology company headquartered in Calgary with a strong focus on enhancing the user experience on enterprise systems. In business since 2002 and as an SAP partner, we are at the leading edge of SAP technology and have a tremendous range of opportunities to provide innovative solutions to critical business problems.


**What Are We Looking For?**
----------------------------



A Front\-End UI developer who has:


* The motor, creativity, and passion to design and craft great enterprise software solutions.
* The capacity to listen to users and understand the core business proble...",68b736723204a15e64887b77
689d5ad6e78d625301071b13,Business Analyst,Prophecy Technologies,indeed,IT Project Manager,"Regina, SK, CA",https://ca.indeed.com/viewjob?jk=ff761218a6de513a,['kavi@prophecytek.com'],1,"If Interested, Please send your updated resume to kavi@prophecytek.com | Contact: Kaviraj \- \+19495080429",2025-09-02T14:24:47.752250,"Role : Business Analyst

Client Name: Saskatchewan Government Insurance (SGI)

**Position Details:**

Title: Business Analyst

Start Date: August 6, 2025

Department: Strategy Realization Office

**Requirements:**

We are seeking a highly analytical and collaborative Business Analyst to support the development, refinement, and reporting of organizational capacity and demand models. This role is pivotal in enabling balanced program portfolio planning by ensuring that project demand is realistically aligned with available organizational capacity across multiple business divisions and functions.

**Key Responsibilities:**

* **Develop and maintain enterprise\-wide capacity and demand models** to inform prioritization and execution of program and project initiatives.
* Analyze and validate **resource forecasts**, **utilization trends**, and **allocation scenarios** across departments, including IT, Data, Operations, and Business Units.
* Collaborate with Portfolio Managers and Program Spon...",68b736723204a15e64887b78
689d5af3e78d625301071fe2,Senior Cybersecurity Consultant,Cyberium Group,indeed,Cloud Engineer / Consultant,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=38abddcbcef6395e,['info@cyberiumgroup.com'],1,**To apply please send your resume to** **info@cyberiumgroup.com**,2025-09-02T14:24:47.789757,"Role Expectations


You will help in all technical aspects of project delivery, including assessing, designing, and supporting the implementation of cybersecurity frameworks. You will work closely with seasoned cybersecurity consultants to provide advisory services to Enterprises undergoing digital, process, and organizational transformation.


Specific responsibilities will vary and include:


* Perform gap assessments against cybersecurity frameworks and determine recommended priority remediation activities
* Support design and implementation of secure system architectures for cloud, hybrid, and on\-prem environments
* Support design and implementation of security technologies, such as Identity Management, SIEM, and endpoint protection
* Bring technical expertise in support of providing high\-quality services to our clients by understanding our client’s challenges and key objectives
* Understand and clearly articulate observations and recommendations to both the internal team, as wel...",68b736723204a15e64887b79
689d5af3e78d62530107201c,IT Support Technician,THE LEO BAECK DAY SCHOOL,indeed,IT Support Specialist,"Toronto, ON, CA",https://ca.indeed.com/viewjob?jk=4b689ec2dcd7fe8b,"['humanresources@leobaeck.ca', 'humanresources@leobaeck.ca']",2,"If you are interested in being considered for a faculty or administrative position, please send your résumé and cover letter to Human Resources at humanresources@leobaeck.ca. | Interested candidates should send their resume with covering letter to humanresources@leobaeck.ca | PLEASE NOTE: We thank you for your application. Due to the volume of applicants, only those being considered for interviews will be contacted.",2025-09-02T14:24:47.838296,"If you are interested in being considered for a faculty or administrative position, please send your résumé and cover letter to Human Resources at humanresources@leobaeck.ca.


  
IT Support Technician
**IT Support Technician** **Job Summary:**


The IT Support Technician will provide front\-line support to staff and students at The Leo Baeck Day School. Superb communication and interpersonal skills combined with technical skills are critical to providing a “white\-glove” level of support. Our user\-first support mentality puts people first and the underlying technology second, so you will need to have a friendly personality and enjoy working directly with users. We are seeking a self\-starter who can find solutions to a broad array of challenges, work with a plethora of personalities, and support a multitude of technologies.


Reporting to and collaborating with the IT Manager, you will have a chance to learn and grow.

**Principal Responsibilities:**

* Front\-line help desk support,...",68b736723204a15e64887b7a
689d5ad6e78d625301071ac3,Project Manager,RothLochston,indeed,IT Project Manager,"Paradise, NL, CA",https://ca.indeed.com/viewjob?jk=717b41077c69332d,['atrimm@rothlochston.com'],1,"If you are ready to join a collaborative and detail\-oriented team, please click the ""Apply now"" button on or before August 27th, 2025, to submit your application. Only applications received through this link will be considered. If you have any questions, please reach out to Alison Trimm at atrimm@rothlochston.com.",2025-09-02T14:24:47.888765,"RothLochston is seeking a Project Manager to support upcoming projects in Voisey’s Bay. This is a temporary role based in Paradise, NL, with anticipated employment through February 2026\. Occasional travel to the project site may be required as needed.



The Project Manager will oversee the development and execution of project proposals and bids, as well as manage project plans, budgets, and reporting throughout the entire project life cycle. This role demands a strong understanding of technical specifications and industry standards relevant to the construction sector. It offers an excellent opportunity to work in a fast\-paced, multi\-disciplinary team environment.


**RESPONSIBILITIES:**

* Promote and practice company values in nurturing a safe, creative, innovative, and enjoyable work environment.
* Provide leadership to ensure that employees adhere to site and company health and safety standards.
* Attend toolbox talks, weekly safety meetings, conduct field visits, safe work obse...",68b736723204a15e64887b7b
689d5acce78d625301071696,Solution Developer (ERP),Attain Solutions,indeed,Full Stack Developer,"Edmonton, AB, CA",https://ca.indeed.com/viewjob?jk=0dacf8fcc6b4f023,['recruitment@attainsolutions.ca'],1,### **How to Apply** | Send a resume and cover letter to recruitment@attainsolutions.ca. Canadian citizens or landed PR ONLY. Out\-of\-country applicants will not be considered.,2025-09-02T14:24:47.931428,"### **Essentials**



We look for the same strand of DNA in all our employees: a curious self\-starter that believes in a greater purpose. Someone that values integrity, honesty, and respect. Work is not a means to an end but is part of a journey towards something greater. Whether it’s to improve your family’s life, or the community you live in, we value people that know the meaning of sowing into a vision. We will help you to live out your greater purpose while you help our clients achieve theirs. We love win\-win.


### **The Need**



Our Burnaby and Edmonton offices are looking for talented Developers to join our rapidly growing solutions delivery team.



Our definition of a Solutions Developer is someone that has had a lifelong desire to solve problems and has the technical ability to implement elegant and efficient solutions. We work with all sorts of tools and technologies. Having the right approach and mindset is the name of the game; the tool is simply and expression of the s...",68b736723204a15e64887b7c
689d5af3e78d62530107201a,Intermediate Designer CIVIL,Mainstay Engineers & Owner Reps,indeed,Cloud Engineer / Consultant,"Saskatoon, SK, CA",https://ca.indeed.com/viewjob?jk=7bf8f75cc2c4ac0f,['contact@mainstayreps.com'],1,Submit applications and related questions to contact@mainstayreps.com,2025-09-02T14:24:47.979866,"**Intermediate Designer CIVIL**

Mainstay project designers are responsible for establishing, coordinating, and monitoring all aspects of the engineering effort to undertake and complete the technical engineering design in accordance with the project scope documents.

**Responsibilities:**

The Intermediate Civil Designer is responsible for providing cost estimates and designs for a diverse range of projects. Reporting to the Team Lead, you are responsible for communicating directly with clients and customers to establish service requirements and provide solid design solutions and alternatives that meet client needs. You will work with landowners, customers, and other client departments to ensure that the projects are effectively coordinated and executed by yourself. You will ensure that facilities are designed in a safe, cost\-effective and timely manner and meet all applicable codes, standards and regulations.

**Your Key Responsibilities:**

Working closely with Engineering Lead, En...",68b736723204a15e64887b7d
