treatment_pk,sector,Position,Title of Experiential Learning Project,Name of Organization Providing Project,Duration,Location ,highlight_1,highlight_2,highlight_3
1,ITC,DevOps & QA Intern,Software Development Lifecycle Enhancement,CED Systems LLC,8 weeks,Toronto,"Conducted a comprehensive analysis of the existing SDLC, identifying key bottlenecks and proposing a strategic shift towards agile methodologies and user-centered design to boost development velocity and product quality.","Architected and implemented a robust, automated testing framework, creating a suite of documented test cases that significantly enhanced quality assurance protocols and reduced manual testing overhead.","Delivered a detailed process enhancement report and executive presentation, successfully demonstrating how the implemented improvements would optimize the end-to-end software development lifecycle."
2,ITC,AI & Automation Analyst Intern,AI Tool Evaluation and Implementation for Business Process Automation,Game Pill,8 weeks,Toronto,"Engineered a systematic evaluation framework to assess third-party AI tools (e.g., Lovable, Retell AI), performing a rigorous cost-benefit analysis to identify the optimal solution for business process automation.","Designed and executed a real-world testing pipeline to validate AI tool capabilities in a live environment, ensuring seamless integration and alignment with Game Pill's operational requirements.","Developed a strategic implementation roadmap detailing the phased integration of the selected AI tool to streamline key business processes, projecting significant gains in operational efficiency."
3,ITC,IT Strategy & Transformation Intern,Tech Enhancement Strategy,Genesis Jewellry Boutique,8 weeks,Toronto,"Executed a comprehensive audit of the current technology infrastructure, identifying critical vulnerabilities and misalignments with strategic business objectives for customer engagement and operational efficiency.","Formulated a set of actionable, high-impact recommendations for a modernized technology stack, including specific software and hardware upgrades to enhance core systems like CRM and inventory management.","Developed and presented a full-scale implementation plan to senior management, outlining a phased adoption strategy, precise cost estimates, and timelines to guide the boutique's digital transformation."
4,CCC,Cloud AI Integration Intern,Integrating AI and Cloud Infrastructure for Enhanced Asset Management,Gluu,8 weeks,"Toronto, Ontario","Engineered and configured a scalable Amazon EC2 instance to serve as the backbone for integrating advanced AI models, directly enabling real-time asset condition reporting.","Successfully integrated the Dify AI Bot with a Supabase backend and Vercel front-end, establishing a robust, full-stack data pipeline for a multi-modal AI asset management system.","Led the development and refinement of a prototype watch classification model within AWS SageMaker, improving brand identification accuracy and providing actionable data for asset tracking."
5,CCC,Cloud Infrastructure Intern,Integrating AI and Cloud Infrastructure for Enhanced Asset Management,Gluu,8 weeks,"Toronto, Ontario","Performed a critical update and reconfiguration of a production Amazon EC2 instance, ensuring high availability and robust support for newly deployed cloud services and AI integrations.","Architected and validated the communication pathways between the Supabase database and the Vercel front-end interface, ensuring low-latency data retrieval and a responsive user experience.","Authored a comprehensive technical report and presented findings on model optimization techniques, creating a knowledge base that guided future cloud infrastructure and AI integration strategies."
6,CCC,AI Data Management Intern,Integrating AI and Cloud Infrastructure for Enhanced Asset Management,Gluu,8 weeks,"Toronto, Ontario","Managed and structured the complex data flows for a multi-modal AI model, ensuring the integrity and quality of data used for real-time machine learning and asset condition reporting.","Played a key role in the development of a refined AI prototype by curating and preparing datasets in AWS SageMaker, which directly contributed to a significant improvement in watch classification accuracy.","Diligently documented all data management processes, configurations, and scripts within AWS SageMaker, promoting transparency, reproducibility, and collaborative development for future project phases."
7,CCC,AR Platform Architect Intern,Re-Architecting ARCortex's Unity-Based AR Platform,ARCortex,8 weeks,"Toronto, Ontario","Designed a novel, scalable architecture for an immersive AR/VR platform by leveraging agent-based computing and generative AI, reducing human development effort and increasing creative flexibility.","Developed the specifications for a Model Context Protocol (MCP) and an Agent-to-Agent (A2A) protocol, creating a foundational system for modular agent coordination and seamless composability.","Authored a detailed evaluation report comparing scene-based versus video-based authoring workflows, providing critical data that informed the strategic direction for optimizing performance and user engagement."
8,CCC,Generative AI Developer Intern,Re-Architecting ARCortex's Unity-Based AR Platform,ARCortex,8 weeks,"Toronto, Ontario","Implemented a functional prototype that integrated no-code pipelines with AI-driven scene generation, successfully demonstrating a new paradigm that drastically reduces manual development and authoring time.","Leveraged emerging physics-based AI models to simulate complex, realistic interactions within AR environments, eliminating the need for manual tuning and enhancing the immersive experience.","Built and presented a complete end-to-end demonstration system that showcased the workflow from a high-level user prompt to a fully deployed, dynamic, and immersive AR/VR experience."
9,CCC,Cloud Asset Management Intern,Cloud Based Asset Management,Beaches and Trails Publishing,8 weeks,"Toronto, Ontario","Designed and deployed a scalable, cloud-based folder and file system to organize and manage thousands of digital assets for over 300 unique book titles, enhancing operational efficiency.","Engineered the integration between the cloud storage system and a central Notion database, creating a single source of truth for all marketing metadata, including descriptions, links, and promotional content.","Developed and delivered a comprehensive user guide and training materials for system maintenance and updates, which ensured high user adoption and the long-term success of the asset management strategy."
10,CCC,Digital Operations Intern,Cloud Based Asset Management,Beaches and Trails Publishing,8 weeks,"Toronto, Ontario",Identified and implemented a cloud-based digital asset management solution that unlocked passive marketing opportunities and streamlined content workflows for the company's entire 300+ title catalogue.,"Automated the linkage between book title assets and their corresponding marketing metadata in a Notion database, significantly reducing manual data entry and ensuring content consistency across platforms.","Collaborated directly with the publishing and marketing teams to analyze their workflows, translating business requirements into a technical solution that improved cross-functional team productivity and efficiency."
