Country,Geographic_Cluster
India,South Asia
Pakistan,South Asia
Bangladesh,South Asia
Sri Lanka,South Asia
Nepal,South Asia
Afghanistan,South Asia
Nigeria,Sub-Saharan Africa
Cameroon,Sub-Saharan Africa
Ethiopia,Sub-Saharan Africa
Kenya,Sub-Saharan Africa
Ghana,Sub-Saharan Africa
Cote d'Ivoire,Sub-Saharan Africa
Democratic Republic of Congo,Sub-Saharan Africa
Zambia,Sub-Saharan Africa
Mauritius,Sub-Saharan Africa
Togo,Sub-Saharan Africa
Rwanda,Sub-Saharan Africa
Benin,Sub-Saharan Africa
Eritrea,Sub-Saharan Africa
Sudan,Sub-Saharan Africa
Senegal,Sub-Saharan Africa
South Africa,Sub-Saharan Africa
Uganda,Sub-Saharan Africa
Burundi,Sub-Saharan Africa
Iran,Middle East & North Africa
Morocco,Middle East & North Africa
Algeria,Middle East & North Africa
Lebanon,Middle East & North Africa
United Arab Emirates,Middle East & North Africa
Jordan,Middle East & North Africa
Turkey,Middle East & North Africa
Saudi Arabia,Middle East & North Africa
Egypt,Middle East & North Africa
Syria,Middle East & North Africa
Bahrain,Middle East & North Africa
Qatar,Middle East & North Africa
Iraq,Middle East & North Africa
Tunisia,Middle East & North Africa
China,East & Southeast Asia
Vietnam,East & Southeast Asia
Singapore,East & Southeast Asia
Philippines,East & Southeast Asia
Malaysia,East & Southeast Asia
Japan,East & Southeast Asia
Thailand,East & Southeast Asia
Indonesia,East & Southeast Asia
Ukraine,Eastern Europe
Russia,Eastern Europe
Kazakhstan,Eastern Europe
Colombia,Latin America
Mexico,Latin America
Brazil,Latin America
Peru,Latin America
