treatment_primary_key,sector,affiliate_university,certificate_name,affiliation_text_type
1,CCC,Sheridan College & ACCES Employment,Canadian Connections Certificate,1
2,CCC,Sheridan College & ACCES Employment,Canadian Workplace Connections Certificate,1
3,CCC,Sheridan College (In collaboration with Acces Employment),Canadian Connections Certificate,2
4,CCC,Sheridan College (In collaboration with Acces Employment),Canadian Workplace Connections Certificate,2
5,CCC,ACCES Employment in partnership with Sheridan College,Canadian Connections Certificate,3
6,CCC,Sheridan College / ACCES Employment,Canadian Workplace Connections Certificate,4
7,CHC,Sheridan College & ACCES Employment,Community Health Care Connections Program,1
8,CHC,Humber College (In collaboration with Acces Employment),Community Health Care Connections Bridging Program,2
9,CHC,ACCES Employment in partnership with Humber College,Community Health Care Connections Certificate,3
10,CHC,Humber College & ACCES Employment,Community Health Care Connections Program,1
11,CHC,Humber College (In collaboration with Acces Employment),Community Health Care Connections Bridging Program,2
12,CHC,Humber College / ACCES Employment,Community Health Care Connections Certificate,4
13,DMC,Humber College & ACCES Employment,Digital Marketing Connections Certificate,1
14,DMC,Humber College & ACCES Employment,Digital Marketing Connections Bridging Certificate,1
15,DMC,ACCES Employment in partnership with Humber College,Digital Marketing Connections Certificate,3
16,DMC,Humber College (In collaboration with Acces Employment),Digital Marketing Connections Bridging Certificate,2
17,DMC,Humber College (In collaboration with Acces Employment),Digital Marketing Connections Certificate,2
18,DMC,Humber College / ACCES Employment,Digital Marketing Connections Certificate,4
19,EEC,Humber College & ACCES Employment,Electrical Engineering Connections Certificate,1
20,EEC,Humber College (In collaboration with Acces Employment),Electrical Engineering Connections Bridging Certificate,2
21,EEC,Humber College / ACCES Employment,Electrical Engineering Connections Certificate,4
22,EEC,ACCES Employment in partnership with Humber College,Electrical Engineering Bridging Program,3
23,EEC,Humber College & ACCES Employment,Electrical Engineering Connections Bridging Certificate,1
24,EEC,Humber College (In collaboration with Acces Employment),Electrical Engineering Bridging Program,2
25,FSC,Toronto Metropolitan University & ACCES Employment,Financial Services Connections Certificate,1
26,FSC,Toronto Metropolitan University & ACCES Employment,Financial Services Connections Bridging Certificate,1
27,FSC,Toronto Metropolitan University (In collaboration with Acces Employment),Financial Services Connections Certificate,2
28,FSC,Toronto Metropolitan University (In collaboration with Acces Employment),Financial Services Connections Bridging Certificate,2
29,FSC,ACCES Employment in partnership with Toronto Metropolitan University,Financial Services Connections Certificate,3
30,FSC,Toronto Metropolitan University / ACCES Employment,Financial Services Connections Bridging Certificate,4
31,ITC,Toronto Metropolitan University & ACCES Employment,Advanced Communication for Technical Professionals,1
32,ITC,Toronto Metropolitan University & ACCES Employment,Cloud Computing Connections,1
33,ITC,Toronto Metropolitan University (In collaboration with Acces Employment),Advanced Communication for Technical Professionals,2
34,ITC,Toronto Metropolitan University (In collaboration with Acces Employment),Cloud Computing Connections,2
35,ITC,ACCES Employment in partnership with Toronto Metropolitan University,Advanced Communication for Technical Professionals,3
36,ITC,Toronto Metropolitan University / ACCES Employment,Cloud Computing Connections,4
37,LC,Humber Polytechnic (In collaboration with Acces Employment),Leadership Connections Bridging Program,2
38,LC,Humber Polytechnic & ACCES Employment,Leadership Connections Program,1
39,LC,Humber Polytechnic & ACCES Employment,Leadership Connections Bridging Program,1
40,LC,Humber Polytechnic (In collaboration with Acces Employment),Leadership Connections Program,2
41,LC,ACCES Employment in partnership with Humber Polytechnic,Leadership Connections Program Certificate,3
42,LC,Humber Polytechnic / ACCES Employment,Leadership Connections Program Certificate,4
43,MSFE,Sheridan College & ACCES Employment,Microsoft Skills Bridging Program,1
44,MSFE,Sheridan College & ACCES Employment,Microsoft  Bridging Program,1
45,MSFE,Sheridan College (In collaboration with Acces Employment),Microsoft Skills Bridging Program,2
46,MSFE,Sheridan College (In collaboration with Acces Employment),Microsoft  Bridging Program,2
47,MSFE,ACCES Employment in partnership with Sheridan College,Microsoft Skills Bridging Program,3
48,MSFE,Sheridan College / ACCES Employment,Microsoft  Bridging Program,4
49,PME,Toronto Metropolitan University (In collaboration with Acces Employment),Project Management for Engineers Bridging Program,1
50,PME,Toronto Metropolitan University & ACCES Employment,Project Management for Engineers Certificate,2
52,PME,ACCES Employment in partnership with Toronto Metropolitan University,Project Management for Engineers Certificate,3
54,PME,Toronto Metropolitan University (In collaboration with Acces Employment),Project Management for Engineers Bridging program,4
55,SCC,Sheridan College & ACCES Employment,Supply Chain Connections Certificate,1
56,SCC,Sheridan College & ACCES Employment,Supply Chain Connections Bridging Certificate,1
57,SCC,Sheridan College (In collaboration with Acces Employment),Supply Chain Connections Certificate,2
58,SCC,Sheridan College (In collaboration with Acces Employment),Supply Chain Connections Bridging Certificate,2
59,SCC,ACCES Employment in partnership with Sheridan College,Supply Chain Connections Certificate,3
60,SCC,Sheridan College / ACCES Employment,Supply Chain Connections Bridging Certificate,4
61,FSCEF,Collège Boréal – ACCES Employment,Financial Services Connections En Français,1
62,FSCEF,Collège Boréal (In collaboration with ACCES Employment),Financial Services Connections Certificate (En Français),2
63,FSCEF,Collège Boréal / ACCES Employment,Financial Services Connections En Français,3
64,FSCEF,ACCES Employment in partnership with Collège Boréal,Financial Services Connections Certificate (En Français),4
65,HRC,Sheridan College & ACCES Employment,Human Resources Connections Certificate,1
66,HRC,Sheridan College (In collaboration with ACCES Employment),Human Resources Connections Program,2
67,HRC,ACCES Employment in partnership with Sheridan College,Human Resources Connections Bridging Program,3
